algorithm,scenario,run,success_rate,avg_steps,avg_reward
Q-Learning,static,1,100.0,8.0,3.0
Q-Learning,static,2,100.0,8.0,3.0
Q-Learning,static,3,100.0,8.0,3.0
DQN,static,1,0.0,2.026,-12.026
DQN,static,2,0.0,2.026,-12.026
DQN,static,3,0.0,2.026,-12.026
Q-Learning,random_start,1,100.0,4.236,6.764
Q-Learning,random_start,2,100.0,4.058,6.942
Q-Learning,random_start,3,100.0,4.108,6.892
DQN,random_start,1,100.0,4.37,6.63
DQN,random_start,2,100.0,4.37,6.63
DQN,random_start,3,100.0,4.37,6.63
Q-Learning,random_goal,1,17.8,2.4269662921348316,-17.38
Q-Learning,random_goal,2,20.8,2.5384615384615383,-16.456
Q-Learning,random_goal,3,14.799999999999999,2.5135135135135136,-18.34
DQN,random_goal,1,17.4,8.22,-14.566
DQN,random_goal,2,17.4,8.22,-14.566
DQN,random_goal,3,17.4,8.22,-14.566
Q-Learning,random_obstacles,1,31.6,8.0,-8.354
Q-Learning,random_obstacles,2,29.2,8.0,-8.54
Q-Learning,random_obstacles,3,27.400000000000002,8.0,-9.012
DQN,random_obstacles,1,32.0,5.048,-8.328
DQN,random_obstacles,2,32.0,5.048,-8.328
DQN,random_obstacles,3,32.0,5.048,-8.328
Q-Learning,container,1,0.0,50.0,-15.338
Q-Learning,container,2,0.0,50.0,-14.946
Q-Learning,container,3,0.0,50.0,-14.858
DQN,container,1,3.5999999999999996,8.408,-14.88
DQN,container,2,3.5999999999999996,8.408,-14.88
DQN,container,3,3.5999999999999996,8.408,-14.88
