,,success_rate,success_rate,success_rate,success_rate,avg_steps,avg_steps,avg_steps,avg_steps,avg_reward,avg_reward,avg_reward,avg_reward
,,mean,std,min,max,mean,std,min,max,mean,std,min,max
algorithm,scenario,,,,,,,,,,,,
DQN,container,0.4,0.0,0.4,0.4,3.508,0.0,3.508,3.508,-12.62,0.0,-12.62,-12.62
DQN,random_goal,22.6,0.0,22.6,22.6,8.866,0.0,8.866,8.866,-14.12,0.0,-14.12,-14.12
DQN,random_obstacles,33.4,0.0,33.4,33.4,5.202,0.0,5.202,5.202,-8.188,0.0,-8.188,-8.188
DQN,random_start,100.0,0.0,100.0,100.0,4.286,0.0,4.286,4.286,6.714,0.0,6.714,6.714
DQN,static,85.0,0.0,85.0,85.0,11.164,0.0,11.164,11.164,-3.314,0.0,-3.314,-3.314
Q-Learning,container,0.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0,-9.721,0.292,-9.982,-9.406
Q-Learning,random_goal,9.133,1.677,7.2,10.2,1.49,0.112,1.361,1.569,-18.215,0.503,-18.794,-17.896
Q-Learning,random_obstacles,30.133,1.747,28.2,31.6,8.0,0.0,8.0,8.0,-8.563,0.348,-8.964,-8.35
Q-Learning,random_start,100.0,0.0,100.0,100.0,4.123,0.084,4.074,4.22,6.877,0.084,6.78,6.926
Q-Learning,static,100.0,0.0,100.0,100.0,8.0,0.0,8.0,8.0,3.0,0.0,3.0,3.0
